feature,XGBoost_importance,importance_std_x,LightGBM_importance,importance_std_y,CatBoost_importance,importance_std,mean_importance,XGBoost_rank,LightGBM_rank,CatBoost_rank,mean_rank
ipannualreimbursementamt_arcsinh,0.0072522713,0.000337275,40.4,8.404760555780278,0.037123915592548636,0.008770777030912447,8.143040799116319,20.0,17.0,19.0,18.666666666666668
ipannualdeductibleamt,0.007268907,0.000352815,41.8,5.5641710972974225,0.02878805683363244,0.008995325180516751,7.901596033557586,18.0,16.0,26.0,20.0
clmadmitdiagnosiscode,0.005950279,0.00025131018,33.4,7.116178749862878,0.025099264539761988,0.0073342108790059824,6.759135635754809,76.0,18.0,29.0,41.0
opannualdeductibleamt_log1p,0.0074595986,0.0005343991,30.0,8.024961059095553,0.06708199681238405,0.007071466308739138,6.351184753321937,15.0,19.0,9.0,14.333333333333334
los_days,0.0062832823,0.00023386597,29.4,2.0591260281974,0.012819334306027991,0.004123890393399544,5.247097733527985,58.0,20.0,36.0,38.0
opannualreimbursementamt_log1p,0.008569436,0.00034624824,23.4,4.223742416388575,0.047856638361851736,0.015496248897975406,4.616001831339675,11.0,21.0,16.0,16.0
claimmonth,0.0054142023,0.00011347417,19.2,5.706137047074843,0.01557625116747809,0.003624459876071236,4.1551442391051365,96.0,24.0,34.0,51.333333333333336
race,0.0096440725,0.00016960737,20.8,3.7629775444453557,0.05698180845124464,0.021272318140361946,4.108507558485655,9.0,22.0,11.0,14.0
diagnosis_count,0.0057220873,0.00016370029,20.0,2.8284271247461903,0.028157396180220628,0.010419727344522628,3.8121483393165487,86.0,23.0,27.0,45.333333333333336
claimdow,0.0050185197,0.00011401166,16.2,6.079473661428265,0.012491199947778565,0.008119113237943362,3.717536084329263,108.0,25.0,37.0,56.666666666666664
chroniccond_stroke,0.0069193817,0.00046727652,16.2,4.534313619501853,0.004672188781806906,0.0029854580583375877,3.458226320756195,28.0,25.0,49.0,34.0
chroniccond_depression,0.006463884,0.00043219203,15.0,3.22490309931942,0.005303496138795735,0.005823039071975117,3.0404876184113867,47.0,27.0,48.0,40.666666666666664
proc_diag_ratio,0.005615849,0.000265927,12.0,4.979959839195493,0.004081845759469298,0.001898079493581313,2.831970256748704,92.0,30.0,52.0,58.0
chroniccond_osteoporasis,0.006271069,0.00025036224,13.6,3.2,0.015869477202049953,0.01179162298513532,2.8056970885605685,60.0,28.0,33.0,40.333333333333336
inscclaimamtreimbursed_arcsinh,0.006286797,0.00015212069,13.6,3.0066592756745822,0.03617064885251077,0.027624187697019114,2.779482171670777,57.0,28.0,20.0,35.0
diagnosis_unique_count,0.005652274,0.00042369406,11.6,1.8547236990991407,0.03414858493586394,0.013641889002724329,2.251431690183566,90.0,31.0,23.0,48.0
chroniccond_alzheimer,0.0061555747,0.00035719713,9.2,3.7629775444453557,0.03025740707718283,0.015652927488162167,2.1692334418061563,68.0,32.0,24.0,41.333333333333336
gender,0.00580573,0.00032592617,9.2,3.1874754901018454,0.004429430752953213,0.0023824819739010875,2.0667365098148602,80.0,32.0,51.0,54.333333333333336
chroniccond_cancer,0.0068154344,0.00020581087,9.2,2.3151673805580453,0.004478045022938779,0.004696127609690478,1.9218937997483216,38.0,32.0,50.0,40.0
chroniccond_obstrpulmonary,0.0068677687,0.00030401006,7.4,3.9293765408777004,0.007134822594679948,0.00408233815516181,1.891294246732097,34.0,38.0,43.0,38.333333333333336
noofmonths_partacov,0.0097336285,0.00197283,8.0,3.1622776601683795,0.017055147360423552,0.00865830269440812,1.8666162614379787,8.0,36.0,31.0,25.0
chroniccond_heartfailure,0.0062362254,0.0004434975,7.8,3.1874754901018454,0.003007169463483652,0.0018146950633690824,1.833162846248891,64.0,37.0,54.0,51.666666666666664
deductibleamtpaid_arcsinh,0.011724612,0.0010721607,6.8,3.709447398198282,0.08409774538403625,0.03459323617692228,1.773489192028389,7.0,40.0,5.0,17.333333333333332
ipannualreimbursementamt_log1p,0.0072534783,0.00016481214,7.0,2.8284271247461903,0.04360819984706468,0.017791808207041612,1.6495409038701994,19.0,39.0,17.0,25.0
